,Our available dogs,Learn to adopt to our wild dogs,Conditions in dog adoption process,Dog adoption facts,Volunteer opportunities,Apply to volunteer programs,Volunteer frequently asked questions and answers,Give feedback for our fosters,Available foster programs,Apply to foster programs,Memorial donation,Donate on paypal,iPhone operating system application downlaod,Android application download,Available mobile application support,Our mission statement,Details of our board of directors,Hours of operation,Our updated address,Wish list on file
Our available dogs,,100,100,100,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0
Learn to adopt to our wild dogs,100,,100,100,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0
Conditions in dog adoption process,100,100,,100,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0
Dog adoption facts,100,100,100,,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0
Volunteer opportunities,10,10,10,10,,100,80,30,30,30,10,10,0,0,0,0,0,0,0,0
Apply to volunteer programs,10,10,10,10,100,,80,30,30,30,10,10,0,0,0,0,0,0,0,0
Volunteer frequently asked questions and answers,0,0,0,0,80,80,,30,20,20,10,10,0,0,0,0,0,0,0,20
Give feedback for our fosters,0,0,0,0,30,30,30,,50,50,20,10,0,0,0,0,0,0,0,30
Available foster programs,10,10,10,10,30,30,20,50,,100,10,10,0,0,0,0,0,10,0,0
Apply to foster programs,10,10,10,10,30,30,20,50,100,,10,10,0,0,0,0,0,10,0,0
Memorial donation,0,0,0,0,10,10,10,20,10,10,,80,0,0,0,0,0,0,0,20
Donate on paypal,0,0,0,0,10,10,10,10,10,10,80,,0,0,0,0,0,0,0,0
iPhone operating system application downlaod,0,0,0,0,0,0,0,0,0,0,0,0,,100,100,0,0,0,0,0
Android application download,0,0,0,0,0,0,0,0,0,0,0,0,100,,100,0,0,0,0,0
Available mobile application support,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,0,0,0,0,0
Our mission statement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90,30,10,20
Details of our board of directors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,20,10,20
Hours of operation,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,30,20,,70,0
Our updated address,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,70,,0
Wish list on file,0,0,0,0,0,0,20,30,0,0,20,0,0,0,0,20,20,0,0,
